abandonment,परित्याग पु ,त्यागणी स्त्री.,,,,,,,,
abate,थारप थारोवप, उणावप, उणें करप.,,,,,,,
abatement,उणावणी स्त्री, थारणी स्त्री.,,,,,,,,
abbreviation,संक्षेप पु , संक्षेपीकरण अ.,संक्षेपन अ,,,,,,,
abdication,पदत्याग पु ,हुद्दोसोडणी स्त्री.,,,,,,,,
abditory,कोठी स्त्री, गुदांव पु.,,,,,,,,
abduction,अपहरण अ.,,,,,,,,,
abetment,दुश्कृत्य-पालव पु , जेलदिणी स्त्री.,दुश्रेरण अ,,,,,,,
abettor,दुश्कृत्य-पालव पृ/स्त्री, जेलदितो (ती).,,,,,,,,
abeyance,तहकुबी स्त्री, तत्पुरती स्थगिती, अनिर्णीत स्थिती.,,,,,,,
ability,कुवत स्त्री, तांक स्त्री, समर्थताय स्त्री.,,,,,,,
ab initio,आररंभा सावन, सुरवेक सावन.,,,,,,,,
able,तांकीवंत, समर्थ.,,,,,,,,
abnormal,अपसामान्य.,,,,,,,,,
abnormal increase,अपसामान्य वाड.,,,,,,,,,
abolition,बंदी स्त्री, मनाय स्त्री, निर्मुळावणी स्त्री,रद्दकरण अ.,,,,,,
abolition of post,हद्दो रदह्दकरण, पद्‌ रद्‌दकरण अ.,,,,,,,,
aboriginal,आदीम.,,,,,,,,,
above cited,वयर उल्लेखीत, उपरोक्त, उपरनिर्दीश्ट.,,,,,,,
above mentioned,वयर लिखीत, उपर्लिखीत.,,,,,,,,
above par,समसमाना वयर.,,,,,,,,,
above quoted,वयर उद्धृत.,,,,,,,,,
above said A,वयर म्हणिल्लें, उपरोक्त.,,,,,,,,
abridge vt,संक्षेप करप, आटोपव, उणावप.,,,,,,,
abridged report,आटीव अहवाल, संक्षिप्त अहवाल.,,,,,,,,
abridgement,संक्षेपन अ, उणावणी स्त्री, आटोवणी स्त्री.,,,,,,,
abrogation,रीतसर निराकरण, विधीवत न्हयकारणी, रद्दकरण अ.,,,,,,,
absconder,फरार व्यक्ती पू, फरारी पू/स्त्री.,,,,,,,,
absence,गैरहाजिरी स्त्री, अनुपस्थिती स्त्री ,अभाव पु.,,,,,,,
absentee,गैरहाजीर पू/स्त्री .,अनुपस्थीत पू/स्त्री,,,,,,,,
absenteeism,गैरहाजीरपण अ, गैरहाजिरी प्रवृत्ती.,,,,,,,,
absentee statement,गैरहाजिरी अहवाल, गैरहाजिरी विवरणपत्र.,,,,,,,,
absolute,अबाधीत, अनिर्बंध, अमर्याद, संपूर्ण, पुराय.,,,,,
absolute acceptance,संपूर्ण स्विकृती, पुराय स्विकृताय.,,,,,,,,
absolute monopoly,अमर्याद मक्तेदारी.,,,,,,,,,
absolute ownership,पुराय धनीपण, संपूर्ण मालकीहक्क.,,,,,,,,
absolve vt,दोशमुक्त करप, गुन्यांवमुक्त करप.,,,,,,,,
absorption,शोशणी स्त्री, अवशोशण अ, चिटणी स्त्री.,,,,,,,
abstain vi,अलिप्त रावप, वर्ज्य करप, सावन पैस रावप. ,,,,,,,
abstract,सार पू, आपरोस पू, गोशवारो पू, संक्षेपिका स्त्री.,,,,,,
abstract book,सार-पुस्तिका स्त्री.,,,,,,,,,
abstract contingent bill,संक्षिप्त आकस्मीक बील.,,,,,,,,,
abstract of tender,निविदा सार.,,,,,,,,,
abstractor,सारकरतो (ती).,,,,,,,,,
abstract sheet,सारपत्रक अ.,,,,,,,,,
abstract statement,सारविवरणपत्र अ.,,,,,,,,,
absurd,असंगत, कायचेकाय.,,,,,,,,
absurdity,असंगती स्त्री, कायचेकायपण अ.,,,,,,,,
abundance,विपूलताय स्त्री, चकचयाळपण अ.,,,,,,,,
abuse vt,दुरुपेग गाळीफस्ती स्त्री, अपशब्द पु दुरुपेग करप, गाळीफस्ती करप, अपशब्द उलोवप,,,,,,
abuse of power,अधिकाराचो दुरुपेग.,,,,,,,,,
abusive language,गाळीफस्ती स्त्री, अपमानकारक उतरां, अपमानास्पद भास.,,,,,,,
academic,पंडिती, शिक्षणीक, विद्याविशयक.,,,,,,,
academic council,विद्या परिशद्‌.,,,,,,,,,
academic discussion,पंडिती चर्चा, शास्त्रीय भासाभास.,,,,,,,,
academician,विद्‌यावीद पू/स्त्री.,,,,,,,,,
academic leave,शिक्षणीक रजा.,,,,,,,,,
academic qualification,शिक्षणीक गुणवत्ता, शिक्षणीक पात्रताय.,,,,,,,,
academic record,शिक्षणीक नोंद, शिक्षणीक अभिलेख शिक्षणीक प्रगतीपट.,,,,,,,,
academics,विद्याप्रणाली स्त्री.,,,,,,,,,
academic session,शिक्षणीक सत्र.,,,,,,,,,
academic year,शिक्षणीक वर्स.,,,,,,,,,
academy,अकादेमी स्त्री.,,,,,,,,,
accede vt,हयकारप, मानून घेवप, पद घेवप.,,,,,,,
acceleration,गतीवाड स्त्री, गतीवर्धन अ, वेगवाड स्त्री.,,,,,,,
accept vt,स्विकारप, मान्य करप, मानून घेवप.,,,,,,,
acceptability,स्विकार्यताय स्त्री.,,,,,,,,,
acceptable,स्विकार्य.,,,,,,,,,
acceptance,स्विकृती स्त्री, स्विकृताय स्त्री, स्विकार पू, मान्यताय स्त्री, हयकार पु.,,,,,
acceptance of office,पद्‌-स्विकृती स्त्री.,,,,,,,,,
acceptance of tender,निविदा स्विकृती.,,,,,,,,,
access,रिगाव पू, प्रवेश पू, परिग्रहण अ.,,,,,,,
accession,अधिकाऱ्रहण पु, पदग्रहण अः राज्यारोहण अ, ग्रंथार्जन (क्रमांक) यु.,,,,,,,
accession rate (=hiring rate),परिग्रहण द्र, थारायिल्लो दर, नियुक्त दर.,,,,,,,
"accessory,",८ अनुशंगीक, उपांगीक ॥ सहायक, साथीदार, संबंद.,,,,,,
accessory licence,संबंदी परवानो, अनुशंगीक परवानो.,,,,,,,,
accident,अपघात पू, आकस्मीक घडणूक, संयोग पू, सुयोग पु.,,,,,,
accidental,आकस्मीक.,,,,,,,,,
accidental error,आकस्मीक चूक, आकस्मीक त्रुटी.,,,,,,,,
accident frequency,अपघात वारंबारताय.,,,,,,,,,
accident risk,अपघात जोखीम.,,,,,,,,,
acclimatization,आंगवळणावणी स्त्री.,,,,,,,,,
accommodate vz,आसपावन घेवप.,,,,,,,,,
accommodation,राबितो वेवस्था, निवास वेवस्था.,,,,,,,,
accompanist,साथी वादक.,,,,,,,,,
accompanying letter,वांगडची चीट.,,,,,,,,,
accomplished,पारंगत, प्रवीण सुसंस्कृत.,,,,,,,,
"accord, vt",कबलात स्त्री, करार पू, सुरमेळ पु म म प्रदान करप, मान्यताय दिवप.,,,,,,
accordance,अनुसरण अ.,,,,,,,,,
accordingly adv,ते प्रमाण, ते नुसार, ताका अनुसरून.,,,,,,,
accord priority to,प्राथमीकताय दिवप, अग्रक्रम दिविप.,,,,,,,,
account,लेखा पू, खातें अ, हिशोब पु.,,,,,,,
accountability,जबाबदारी स्त्री, जापसालदारकी स्त्री, उत्तरदायित्व अ.,,,,,,,
accountable,जबाबदार, जापसालदार, उत्तरदायी.,,,,,,,
accountancy,लेखाशास्त्र अ, हिशोब शास्त्र, लेखांकन अ.,,,,,,,
accountant,लेखाकार पृ/स्त्री, हिशोबनीस पु/स्त्री, हिशोबकार (कान्न).,,,,,,,
account book,हिशोब पटी, खातें-चोपडी स्त्री.,,,,,,,,
account circle,लेखा मंडळ.,,,,,,,,,
account for,कारण दिवप, लेखा जोखा दिवप, ताळेबंद मांडप.,,,,,,,
account head,लेखाशिर्शक अ, हिशोब माथाळो.,,,,,,,,
accounting policies,लेखाकरण धोरणां, लेखाकरण निती.,,,,,,,,
accounting unit,लेखाकरण एकक, लेखा एकक, लेखा मात्रक.,,,,,,,
accoutrements p/,साजसरंजाम पू, आलायतीं साधनां, आलायती मुस्तायकी.,,,,,,,
accredit vt,अधिकृत मान्यताय दिविप, अधिकार प्रदान करप, श्रय दिवप, दाखलो दिविप.,,,,,,
accreditation vt,अधिमान्यताय स्त्री.,,,,,,,,,
accredited (as correspondent),अधिमान्य (प्रतिनिधी), मान्यतायप्राप्त (पत्रकार).,,,,,,,,
accretion,संवृद्धी स्त्री.,,,,,,,,,
accrual,आपवाड स्त्री.,,,,,,,,,
accrual basis,आपवाड मुळाधार.,,,,,,,,,
accrue vi,आपवाडप.,,,,,,,,,
accrued,आपवाडीत.,,,,,,,,,
accrued benefit,आपवाडीत लाव.,,,,,,,,,
accrued pension,आपवाडीत निवृत्तीवेतन.,,,,,,,,,
accumulation,एकठावणी स्त्री, सांठो पू, संचयन अः संचय पु.,,,,,,,
accuracy,अचूकताय स्त्री.,,,,,,,,,
accuracy test,अचूकताय चांचणी, परिशुद्धी परिक्षण.,,,,,,,,
accurate,अचूक, नेमके, चुकी विरयत.,,,,,,,
accurately adv,अचूकतायेन, चुकनासतना, नेमकेपणान.,,,,,,,
accusation,आरोप .,,,,,,,,,
accuse vt,आरोप करप,,,,,,,,,
accused,आरोपी.,,,,,,,,,
achieve vt,मेळोवप, जोडप (नांव बी), कर्तूप करप.,,,,,,,
achievement,प्राप्ती स्त्री, मेळकत स्त्री, जोड स्त्री, कर्तृत्व अ, सिद्धी स्त्री.,,,,,
achievement record,कर्तृत्वपट पु.,,,,,,,,,
achiever,कर्तृत्वी पु /स्त्री.,,,,,,,,,
acknowledge vt,स्विकृती कळोवप, मानून घेवप, पावती दिवप.,,,,,,,
acknowledgement,स्विकृती स्त्री, पावती स्त्री, पोंच स्त्री.,,,,,,,
acknowledgement due,पावती अपेक्षीत.,,,,,,,,,
acquaintance,परिचय पू, वळख स्त्री परिचीत, वळखीचें.,,,,,,,
acquire vt,मेळोवप, प्राप्त करप, संपाद्प.,,,,,,,
acquisition,संपादन अ, प्राप्तीकरण अ, मेळोवणी स्त्री.,,,,,,,
acquit vz,आरोपमुक्त करप, निर्दोश थारावप.,,,,,,,,
acquittal,आरोपमुक्ती स्त्री.,,,,,,,,,
acquittance,भरपाय स्त्री, फारीकपण अ, पावती स्त्री.,,,,,,,
acquittance roll,भरपाय वळेरी स्त्री.,,,,,,,,,
"act, vt",कृती स्त्री, कृत्य अ, कार्य अ, करणी स्त्री अंक पू, पड्डो पु काखाय करप, कृती करप.,,,,
acting (as in ‘acting director’),वावुरपी.,,,,,,,,,
acting allowance,वावुरपी सेवा भत्तो.,,,,,,,,,
action,कारवाय स्त्री, कृती स्त्री, क्रिया स्त्री.,,,,,,,
actionable,कारवायपात्र.,,,,,,,,,
action committee,कृती समिती.,,,,,,,,,
action plan,कृती येवजण.,,,,,,,,,
action programme,कृती मांडावळ, कृती आंखणी.,,,,,,,,
activate vt,चालीक लावप, सक्रीय करप, कृतीशील करप.,,,,,,,
active,सक्रीय, कृतीशील, क्रियाशील, कार्यरत.,,,,,,
active duty,सक्रीय सेवा, सक्रीय वार्ता.,,,,,,,,
active list,चालंत वळेरी, चालंत सुची.,,,,,,,,
actively adv,सक्रीयतायेन, कृतीशीलपणान.,,,,,,,,
activist,चळवळकार (कान्न).,,,,,,,,,
activity,वावर पू, कार्य अ, हालचाल स्त्री.,,,,,,,
act of God,दैवी घडणूक, दैवी आपत्ती.,,,,,,,,
act of misconduct,गैरवागणूक स्त्री, गैरवर्तन अ.,,,,,,,,
act of omission and commission,कृती वर्जणी आनी गैरकृती, कार्य वर्जणी आनी गैरकृत्य.,,,,,,,,
actual,खरें, प्रत्यक्ष, वास्तवीक.,,,,,,,
actualspl,प्रत्यक्ष रकमो, प्रत्यक्ष आंकडे.,,,,,,,,
actuary,प्रगणक (विमो बी) पू, विमो जाणकार.,,,,,,,,
adaptable,अनुकुलनीय, अनुकुलनक्षम.,,,,,,,,
adaptation,रुपांतरण अ, अनुकुलन अ, सपरिर्तन अ, स्विकृताय स्त्री.,,,,,,
add vt,जोडप, बेरीज करप, भर घालप.,,,,,,,
addendum,जोडणी स्त्री, पुरवणी स्त्री.,,,,,,,,
adding machine,बेरीज यंत्र, जोडणी यंत्र.,,,,,,,,
addition,बेरीज स्त्री, जोडणी स्त्री, भर स्त्री, भराव पु.,,,,,,
additional,अतिरिक्त, जोड हद्द बी).,,,,,,,,
additional charge;,अतिरिक्त पदभार, अतिरिक्त कार्यभार, जोड पदभार, जोड कार्यभार.,,,,,,
additional collection,अतिरिक्त वसुली अतिरिक्त संचय.,,,,,,,,,
additional funds,अतिरिक्त निधी, अतिरिक्त फंड.,,,,,,,,
additional general meeting,अतिरिक्त सर्वसादारण बसका.,,,,,,,,,
additional grant,अतिरिक्त अनुदान.,,,,,,,,,
additional information,अतिरिक्त म्हायती, अतिरिक्त खबर.,,,,,,,,
additional pay,अतिरिक्त वेतन, अतिर्क्ति पगार.,,,,,,,,
additional qualifying service,अतिरिक्त गुणवत्ता सेवा, अतिरिक्त पात्रता सेवा.,,,,,,,,
additional tools,अतिरिक्त आवतां, अतिरिक्त साधनां.,,,,,,,,
addition and alteration,भर आनी बदल, वाड आनी परिवर्तन.,,,,,,,,
address,नामो पू, पत्तो पु अभिभाशण अ, संबोधन अ.,,,,,,,
addressee,पत्तोधारक पू/ स्त्री, नामोधारक पू/स्त्री, संबोधीत पु /स्त्री.,,,,,,,
addressing machine,नामो-लेखन यंत्र.,,,,,,,,,
address of welcome,येवकार अभिभाशण, स्वागत अभिभाशण.,,,,,,,,
addressograph,नामो-आलेख पू, नामोलेखन यंत्र.,,,,,,,,
adduce vt,पुरावो म्हण सादर करप.,,,,,,,,,
adequacy,पर्याप्तताय स्त्री, फावोशेपण अ, योग्य प्रमाण.,,,,,,,
adequate,जाय जितलें.,,,,,,,,,
adherence,टृढ रावणी स्त्री, निश्‍्ठा दवरणी.,,,,,,,,
adhere (to) vi,दृढ रावप, निश्‍्ठा दवरप.,,,,,,,,
"adhesive,",दसपी, चिकटपी, चिकटावपी, चिकट पांक पू, खळ स्त्री, चिकट द्रव.,,,,
adhesive stamp,चिकट-तिकेट स्त्री.,,,,,,,,,
adhesive tape,चिकट-पटूटी स्त्री.,,,,,,,,,
ad hoc,तित्पुरतें, तदर्थ.,,,,,,,,
ad hoc benefit,तित्पुरतो लाव.,,,,,,,,,
ad hoc claim,तित्पुरतो दावो, तदर्थ दावो.,,,,,,,,
ad hoc committee,तित्पुरती समिती.,,,,,,,,,
ad hoc increase, तित्पुरती वाड.,,,,,,,,,
ad hoc indent,तित्पुरतें मागणीपत्र.,,,,,,,,,
ad hoc payment,तित्पुरती फारीकणी.,,,,,,,,,
ad infinitum,अनंता मेरेन.,,,,,,,,,
ad interim,मजगी.,,,,,,,,,
adjacent,बगलेचें, कुशीचें, तेंकिल्लें.,,,,,,,
adjoin v,जोडप, सांधप.,,,,,,,,
adjoining (=contiguous),सांधीत, जोडवतीं, समीपवर्ती.,,,,,,,
adjourn vt,स्थगीत करप,.,,,,,,,,
adjournment,म म  स्थगिती स्त्री, स्थगन अ.,,,,,,,,
adjournment motion,स्थगन प्रस्ताव, स्थगिती प्रस्ताव.,,,,,,,,
adjudge vz,निर्णय दिवप, न्यायनिवाडो दिवप, निकाल दिवप.,,,,,,,
adjudicate vt,न्यायनिर्णय करप, किजील सोडोवप, झगडें मेटोवप.,,,,,,,
adjudication,न्यायनिवाडो पू, न्यायनिर्णय पु.,,,,,,,,
adjudication machinery,न्यायनिवाडो यंत्रणा.,,,,,,,,,
adjudicator,न्यायनिवाडकार (कान्न), न्यायनिर्णयकरतो (ती).,,,,,,,,
adjust vi,जुळोवन घेवप.,,,,,,,,,
adjuster,जुळयणार पृ/स्त्री.,,,,,,,,,
adjusting entry,जुळोवणी नोंद.,,,,,,,,,
adjustment of over payment,अती फारीकणेची जुळोवणी.,,,,,,,,,
adjutant,पालवी अधिकारी, सहयोगी, मजतकार (कान्न), उप अधिकारी.,,,,,,
administration (admin),प्रशासन (प्रशा).,,,,,,,,,
administer vt,प्रशासन चलोवप, संचालन करप दिवप, दिवोबप (पदाचो सोपूत बी), वेवस्था करप, प्रबंध करप.,,,,,
administered price,निर्देशीत मोल, निर्देशीत द्र.,,,,,,,,
administering authority,प्रशासकी अधिकारी, प्राधिकारिणी स्त्री.,,,,,,,,
administer oath »,सोपूत, दिवप.,,,,,,,,
administration »,प्रशासन अ, कारभार पु.,,,,,,,,
administration of funds,निधी संचालन.,,,,,,,,,
administration of justice,न्यायदानकरण अ.,,,,,,,,,
administrative,प्रशासकी, प्रशासनीक.,,,,,,,,
administrative ability,प्रशासकी कुवत, प्रशासकी तांक.,,,,,,,,
administrative action,प्रशासकी कारवाय.,,,,,,,,,
administrative appraisal,प्रशासकी मोलांकन.,,,,,,,,,
administrative approval,प्रशासकी मान्यताय, प्रशासकी सम्मती.,,,,,,,,
administrative authority,प्रशासकी प्राधिकारिणी, प्रशासकी अधिकारिणी प्रशासकी अधिकारी, प्रशासकी प्राधिकारी.,,,,,,,
administrative control,प्रशासकी नियंत्रण.,,,,,,,,,
administrative convenience,प्रशासकी सुविधा.,,,,,,,,,
administrative decision,प्रशासकी निर्णय.,,,,,,,,,
administrative department,प्रशासकी विभाग.,,,,,,,,,
administrative function,प्रशासकी कार्य.,,,,,,,,,
administrative head,प्रशासकी मुखेली, प्रशासकी प्रमूख.,,,,,,,,
administrative headquarters,प्रशासकी मुखेल ठाणें, प्रशासकी मुख्यालय.,,,,,,,,
administrative inspection,प्रशासकी निरिक्षण, प्रशासकी पारखणी.,,,,,,,,
administrative measures,प्रशासकी उपाय.,,,,,,,,,
administrative ministry,प्रशासकी मंत्रालय.,,,,,,,,,
